id,label
1,1.0
2,-0.11
3,0.52
4,1.0
5,-0.04
6,0.78
7,1.0
8,0.52
9,-0.59
10,1.0
11,0.86
12,0.18
13,-0.77
14,0.08
15,1.0
16,-0.48
17,0.96
18,-0.43
19,1.0
20,0.22
21,0.16
22,1.0
23,-1.0
24,1.0
25,-0.69
26,0.74
27,1.0
28,0.99
29,1.0
30,1.0
31,-0.78
32,0.94
33,-0.21
34,0.71
35,0.69
36,-0.87
37,0.88
38,0.29
39,1.0
40,-0.43
41,-0.43
42,0.09
43,0.14
44,1.0
45,-0.99
46,-0.14
47,-0.79
48,0.0
49,0.14
50,-0.43
51,1.0
52,0.98
53,1.0
54,-0.75
55,0.78
56,1.0
57,1.0
58,0.98
59,-0.23
60,-0.34
61,-0.81
62,0.29
63,1.0
64,0.52
65,0.33
66,-0.73
67,-1.0
68,-0.82
69,-0.43
70,-0.43
71,0.99
72,1.0
73,0.54
74,-0.43
75,1.0
76,-0.43
77,0.52
78,0.97
79,0.06
80,1.0
81,1.0
82,-0.8
83,0.0
84,0.0
85,-1.0
86,0.78
87,0.0
88,-0.06
89,0.94
90,0.98
91,0.52
92,0.99
93,0.01
94,0.92
95,1.0
96,-0.23
97,-0.67
98,-0.99
99,1.0
100,0.74
101,0.24
102,1.0
103,1.0
104,0.99
105,0.98
106,1.0
107,0.16
108,-0.18
109,0.06
110,-1.0
111,1.0
112,1.0
113,0.03
114,0.62
115,-1.0
116,-0.15
117,-0.85
118,0.74
119,0.01
120,-0.23
121,1.0
122,1.0
123,0.0
124,0.52
125,0.58
126,0.85
127,1.0
128,1.0
129,0.94
130,0.66
131,-0.43
132,1.0
133,-0.85
134,0.96
135,0.87
136,-0.43
137,0.23
138,0.67
139,0.99
140,-0.38
141,0.49
142,-0.59
143,-0.23
144,-0.64
145,0.74
146,0.85
147,-0.93
148,1.0
149,1.0
150,-0.08
151,0.0
152,-0.43
153,-0.43
154,-0.43
155,1.0
156,0.98
157,1.0
158,-0.43
159,0.98
160,0.11
161,0.74
162,0.33
163,0.24
164,0.95
165,0.95
166,1.0
167,0.58
168,0.98
169,-0.13
170,-0.43
171,-1.0
172,0.78
173,0.82
174,1.0
175,-0.78
176,0.0
177,1.0
178,0.63
179,-0.13
180,-0.1
181,1.0
182,1.0
183,0.92
184,0.07
185,1.0
186,0.74
187,0.66
188,0.78
189,-0.23
190,-0.85
191,1.0
192,-0.78
193,0.0
194,1.0
195,-0.95
196,0.05
197,1.0
198,-0.9
199,-0.9
200,1.0
201,1.0
202,1.0
203,0.98
204,1.0
205,0.99
206,1.0
207,1.0
208,-0.43
209,0.78
210,0.93
211,1.0
212,-0.43
213,1.0
214,0.94
215,0.43
216,1.0
217,1.0
218,-1.0
219,0.06
220,-0.05
221,0.96
222,-0.43
223,-0.24
224,0.78
225,1.0
226,0.0
227,1.0
228,0.94
229,1.0
230,0.78
231,-0.74
232,1.0
233,-0.43
234,0.92
235,0.29
236,1.0
237,0.96
238,0.34
239,0.74
240,-0.87
241,-0.79
242,1.0
243,0.63
244,-0.44
245,1.0
246,0.74
247,-0.43
248,-1.0
249,-0.4
250,-0.06
251,0.78
252,-0.43
253,-0.6
254,1.0
255,0.99
256,1.0
257,-0.84
258,0.98
259,0.01
260,0.74
261,-0.43
262,1.0
263,0.97
264,-0.39
265,-0.95
266,1.0
267,0.52
268,0.84
269,-0.58
270,-0.38
271,1.0
272,-0.01
273,-0.38
274,0.26
275,-1.0
276,-0.82
277,0.94
278,-0.14
279,0.93
280,-0.83
281,0.01
282,1.0
283,1.0
284,0.94
285,0.1
286,0.78
287,-0.78
288,1.0
289,-0.43
290,-0.43
291,-0.93
292,0.16
293,1.0
294,0.92
295,0.74
296,1.0
297,0.07
298,0.99
299,1.0
300,1.0
301,-0.93
302,0.91
303,-0.96
304,-0.43
305,1.0
306,1.0
307,-0.78
308,-0.37
309,0.85
310,1.0
311,-0.23
312,-0.43
313,-0.43
314,-0.57
315,-0.13
316,-0.81
317,1.0
318,-1.0
319,1.0
320,0.95
321,0.99
322,-0.1
323,0.98
324,-1.0
325,-0.43
326,-0.86
327,1.0
328,1.0
329,1.0
330,0.94
331,-0.92
332,0.24
333,1.0
334,1.0
335,-0.91
336,0.0
337,-0.5
338,-0.18
339,0.99
340,0.44
341,-0.43
342,-1.0
343,1.0
344,-0.11
345,-0.49
346,1.0
347,0.78
348,0.99
349,-1.0
350,0.22
351,0.61
352,1.0
353,1.0
354,0.19
355,0.8
356,-1.0
357,-0.33
358,1.0
359,0.99
360,0.0
361,1.0
362,1.0
363,0.96
364,-0.43
365,-0.43
366,-0.43
367,-0.43
368,0.98
369,0.87
370,-0.23
371,-0.23
372,1.0
373,-0.02
374,-1.0
375,-0.43
376,0.72
377,-0.41
378,0.17
379,0.44
380,0.03
381,0.95
382,0.06
383,0.0
384,-0.18
385,0.18
386,1.0
387,-0.14
388,0.18
389,-0.05
390,0.99
391,1.0
392,0.78
393,0.99
394,-0.81
395,0.74
396,0.98
397,1.0
398,0.0
399,0.97
400,0.95
401,0.78
402,0.98
403,0.0
404,0.0
405,1.0
406,0.52
407,0.78
408,1.0
409,1.0
410,-0.43
411,-0.52
412,1.0
413,-0.9
414,-0.85
415,0.74
416,-0.44
417,1.0
418,-0.43
419,0.01
420,-1.0
421,1.0
422,-0.03
423,-0.7
424,0.99
425,-0.01
426,-0.43
427,1.0
428,0.8
429,1.0
430,1.0
431,1.0
432,-0.6
433,0.52
434,0.78
435,0.01
436,1.0
437,1.0
438,1.0
439,-0.39
440,0.19
441,-0.6
442,-0.43
443,0.8
444,-0.43
445,-0.94
446,0.98
447,-0.43
448,0.94
449,1.0
450,0.95
451,-0.01
452,-0.96
453,1.0
454,0.98
455,0.92
456,-0.08
457,0.99
458,0.89
459,-0.38
460,1.0
461,0.07
462,1.0
463,0.71
464,0.64
465,-0.49
466,0.47
467,0.52
468,0.94
469,-0.29
470,-1.0
471,-0.99
472,0.99
473,1.0
474,1.0
475,0.99
476,0.77
477,-1.0
478,0.94
479,1.0
480,0.74
481,1.0
482,-0.16
483,1.0
484,1.0
485,0.26
486,0.0
487,0.92
488,1.0
489,1.0
490,0.56
491,0.74
492,-0.01
493,-0.23
494,0.99
495,0.0
496,1.0
497,1.0
498,0.66
499,1.0
500,1.0
501,-0.22
502,0.0
503,0.99
504,0.98
505,-0.44
506,0.99
507,-0.91
508,0.95
509,0.06
510,-0.43
511,0.78
512,0.99
513,0.19
514,1.0
515,1.0
516,1.0
517,-0.43
518,0.84
519,-0.44
520,1.0
521,-0.03
522,-0.97
523,0.46
524,-0.01
525,1.0
526,0.42
527,0.02
528,0.0
529,0.98
530,1.0
531,0.78
532,-0.6
533,-0.1
534,1.0
535,0.56
536,-0.23
537,0.52
538,-0.2
539,0.01
540,0.92
541,-0.43
542,-0.81
543,0.98
544,0.01
545,0.0
546,1.0
547,0.32
548,0.52
549,0.49
550,-0.64
551,1.0
552,1.0
553,1.0
554,0.04
555,1.0
556,1.0
557,-0.93
558,1.0
559,0.76
560,0.15
561,-0.84
562,0.52
563,1.0
564,1.0
565,0.99
566,1.0
567,0.38
568,-0.43
569,0.78
570,-0.14
571,-0.43
572,0.01
573,1.0
574,-0.43
575,-0.87
576,0.12
577,-0.14
578,1.0
579,-0.43
580,-0.96
581,0.83
582,-0.93
583,0.98
584,-0.33
585,-0.44
586,1.0
587,1.0
588,-0.23
589,1.0
590,1.0
591,0.0
592,1.0
593,1.0
594,0.99
595,0.98
596,-1.0
597,-0.39
598,0.99
599,1.0
600,-0.43
601,0.49
602,-0.91
603,-0.9
604,0.78
605,0.58
606,1.0
607,0.78
608,1.0
609,-0.99
610,-0.98
611,-0.43
612,0.52
613,0.64
614,0.89
615,-0.44
616,1.0
617,0.02
618,0.98
619,-0.43
620,0.88
621,-0.95
622,1.0
623,0.8
624,-0.43
625,-0.43
626,1.0
